date,cash,market_value,equity
2024-04-05,26242866.114372503,23613700.0,49856566.11437251
2024-04-08,26242866.114372503,23511300.0,49754166.11437251
2024-04-09,26242866.114372503,23493200.0,49736066.11437251
2024-04-11,26242866.114372503,23915700.0,50158566.11437251
2024-04-12,26242866.114372503,23795300.0,50038166.11437251
2024-04-15,26242866.114372503,23635000.0,49877866.11437251
2024-04-16,26242866.114372503,22742400.0,48985266.11437251
2024-04-17,37588012.888280004,11436800.0,49024812.888280004
2024-04-18,48818797.88668001,0.0,48818797.88668001
2024-04-19,48818797.88668001,0.0,48818797.88668001
2024-04-22,48818797.88668001,0.0,48818797.88668001
2024-04-23,48818797.88668001,0.0,48818797.88668001
2024-04-24,48818797.88668001,0.0,48818797.88668001
2024-04-25,48818797.88668001,0.0,48818797.88668001
2024-04-26,48818797.88668001,0.0,48818797.88668001
2024-04-29,48818797.88668001,0.0,48818797.88668001
2024-04-30,48818797.88668001,0.0,48818797.88668001
2024-05-02,48818797.88668001,0.0,48818797.88668001
2024-05-03,48818797.88668001,0.0,48818797.88668001
2024-05-07,48818797.88668001,0.0,48818797.88668001
2024-05-08,24945688.657360006,23958400.0,48904088.65736
2024-05-09,36903323.998785004,11795600.0,48698923.998785004
2024-05-10,36903323.998785004,11721600.0,48624923.998785004
2024-05-13,36903323.998785004,11603200.0,48506523.998785004
2024-05-14,48501821.488965005,0.0,48501821.488965005
2024-05-16,48501821.488965005,0.0,48501821.488965005
2024-05-17,36590082.99616501,11773800.0,48363882.99616501
2024-05-20,36590082.99616501,11786200.0,48376282.99616501
2024-05-21,24650326.30126501,23820800.0,48471126.30126501
2024-05-22,24650326.30126501,24067800.0,48718126.30126501
2024-05-23,36425900.08900501,12400000.0,48825900.08900501
2024-05-24,24437311.67044501,24153600.0,48590911.67044501
2024-05-27,36149473.000275016,12493000.0,48642473.000275016
2024-05-28,36149473.000275016,12555000.0,48704473.000275016
2024-05-29,36149473.000275016,12555000.0,48704473.000275016
2024-05-30,36149473.000275016,12133400.0,48282873.000275016
2024-05-31,47832919.25482502,0.0,47832919.25482502
2024-06-03,35886658.33443752,12234600.0,48121258.33443752
2024-06-04,35886658.33443752,12177900.0,48064558.33443752
2024-06-05,35886658.33443752,12203100.0,48089758.33443752
2024-06-07,35886658.33443752,13072500.0,48959158.33443752
2024-06-10,35886658.33443752,13104000.0,48990658.33443752
2024-06-11,35886658.33443752,13387500.0,49274158.33443752
2024-06-12,35886658.33443752,13545000.0,49431658.33443752
2024-06-13,35886658.33443752,13986000.0,49872658.33443752
2024-06-14,35886658.33443752,13923000.0,49809658.33443752
2024-06-17,35886658.33443752,14049000.0,49935658.33443752
2024-06-18,35886658.33443752,14773500.0,50660158.33443752
2024-06-19,35886658.33443752,14710500.0,50597158.33443752
2024-06-20,35886658.33443752,14962500.0,50849158.33443752
2024-06-21,35886658.33443752,14742000.0,50628658.33443752
2024-06-24,35886658.33443752,14049000.0,49935658.33443752
2024-06-25,37562919.27671252,12375000.0,49937919.27671252
2024-06-26,37562919.27671252,13035000.0,50597919.27671252
2024-06-27,37562919.27671252,13007500.0,50570419.27671252
2024-06-28,37562919.27671252,13007500.0,50570419.27671252
2024-07-01,37562919.27671252,12952500.0,50515419.27671252
2024-07-02,37562919.27671252,12760000.0,50322919.27671252
2024-07-03,37562919.27671252,12980000.0,50542919.27671252
2024-07-04,37562919.27671252,12650000.0,50212919.27671252
2024-07-05,25571128.777912524,25174000.0,50745128.77791253
2024-07-08,25571128.777912524,25078500.0,50649628.77791253
2024-07-09,25571128.777912524,25409500.0,50980628.77791253
2024-07-10,25571128.777912524,25437000.0,51008128.77791253
2024-07-11,25571128.777912524,25519000.0,51090128.77791253
2024-07-12,25571128.777912524,24631000.0,50202128.77791253
2024-07-15,38458015.86103752,12138000.0,50596015.86103752
2024-07-16,38458015.86103752,12278000.0,50736015.86103752
2024-07-17,38458015.86103752,12138000.0,50596015.86103752
2024-07-18,38458015.86103752,12166000.0,50624015.86103752
2024-07-19,38458015.86103752,11816000.0,50274015.86103752
2024-07-22,50239173.13563752,0.0,50239173.13563752
2024-07-23,50239173.13563752,0.0,50239173.13563752
2024-07-24,50239173.13563752,0.0,50239173.13563752
2024-07-25,50239173.13563752,0.0,50239173.13563752
2024-07-26,50239173.13563752,0.0,50239173.13563752
2024-07-29,50239173.13563752,0.0,50239173.13563752
2024-07-30,50239173.13563752,0.0,50239173.13563752
2024-07-31,50239173.13563752,0.0,50239173.13563752
2024-08-01,50239173.13563752,0.0,50239173.13563752
2024-08-02,50239173.13563752,0.0,50239173.13563752
2024-08-05,50239173.13563752,0.0,50239173.13563752
2024-08-06,50239173.13563752,0.0,50239173.13563752
2024-08-07,50239173.13563752,0.0,50239173.13563752
2024-08-08,50239173.13563752,0.0,50239173.13563752
2024-08-09,50239173.13563752,0.0,50239173.13563752
2024-08-12,50239173.13563752,0.0,50239173.13563752
2024-08-13,50239173.13563752,0.0,50239173.13563752
2024-08-14,50239173.13563752,0.0,50239173.13563752
2024-08-16,50239173.13563752,0.0,50239173.13563752
2024-08-19,50239173.13563752,0.0,50239173.13563752
2024-08-20,50239173.13563752,0.0,50239173.13563752
2024-08-21,50239173.13563752,0.0,50239173.13563752
2024-08-22,50239173.13563752,0.0,50239173.13563752
2024-08-23,50239173.13563752,0.0,50239173.13563752
2024-08-26,50239173.13563752,0.0,50239173.13563752
2024-08-27,50239173.13563752,0.0,50239173.13563752
2024-08-28,50239173.13563752,0.0,50239173.13563752
2024-08-29,50239173.13563752,0.0,50239173.13563752
2024-08-30,50239173.13563752,0.0,50239173.13563752
2024-09-02,50239173.13563752,0.0,50239173.13563752
2024-09-03,50239173.13563752,0.0,50239173.13563752
2024-09-04,50239173.13563752,0.0,50239173.13563752
2024-09-05,50239173.13563752,0.0,50239173.13563752
2024-09-06,50239173.13563752,0.0,50239173.13563752
2024-09-09,50239173.13563752,0.0,50239173.13563752
2024-09-10,50239173.13563752,0.0,50239173.13563752
2024-09-11,50239173.13563752,0.0,50239173.13563752
2024-09-12,50239173.13563752,0.0,50239173.13563752
2024-09-13,50239173.13563752,0.0,50239173.13563752
2024-09-19,50239173.13563752,0.0,50239173.13563752
2024-09-20,50239173.13563752,0.0,50239173.13563752
2024-09-23,50239173.13563752,0.0,50239173.13563752
2024-09-24,50239173.13563752,0.0,50239173.13563752
2024-09-25,50239173.13563752,0.0,50239173.13563752
2024-09-26,50239173.13563752,0.0,50239173.13563752
2024-09-27,50239173.13563752,0.0,50239173.13563752
2024-09-30,50239173.13563752,0.0,50239173.13563752
2024-10-02,50239173.13563752,0.0,50239173.13563752
2024-10-04,50239173.13563752,0.0,50239173.13563752
2024-10-07,50239173.13563752,0.0,50239173.13563752
2024-10-08,50239173.13563752,0.0,50239173.13563752
2024-10-10,50239173.13563752,0.0,50239173.13563752
2024-10-11,50239173.13563752,0.0,50239173.13563752
2024-10-14,50239173.13563752,0.0,50239173.13563752
2024-10-15,50239173.13563752,0.0,50239173.13563752
2024-10-16,38406285.86874752,12036000.0,50442285.86874752
2024-10-17,38406285.86874752,11900000.0,50306285.86874752
2024-10-18,38406285.86874752,12022400.0,50428685.86874752
2024-10-21,38406285.86874752,12022400.0,50428685.86874752
2024-10-22,38406285.86874752,11641600.0,50047885.86874752
2024-10-23,38406285.86874752,11730000.0,50136285.86874752
2024-10-24,38406285.86874752,11702800.0,50109085.86874752
2024-10-25,26421499.920472518,23269400.0,49690899.92047252
2024-10-28,37798253.218212515,11564000.0,49362253.218212515
2024-10-29,37798253.218212515,11227700.0,49025953.218212515
2024-10-30,37798253.218212515,11505000.0,49303253.218212515
2024-10-31,48790094.31225155,0.0,48790094.31225155
2024-11-01,48790094.31225155,0.0,48790094.31225155
2024-11-04,48790094.31225155,0.0,48790094.31225155
2024-11-05,36950402.624851555,12002000.0,48952402.624851555
2024-11-06,36950402.624851555,11988400.0,48938802.624851555
2024-11-07,36950402.624851555,12219600.0,49170002.624851555
2024-11-08,36950402.624851555,11872800.0,48823202.624851555
2024-11-11,36950402.624851555,11968000.0,48918402.624851555
2024-11-12,36950402.624851555,12335200.0,49285602.624851555
2024-11-13,36950402.624851555,12389600.0,49340002.624851555
2024-11-14,36950402.624851555,12818000.0,49768402.624851555
2024-11-15,36950402.624851555,12920000.0,49870402.624851555
2024-11-18,36950402.624851555,12974400.0,49924802.624851555
2024-11-19,36950402.624851555,13124000.0,50074402.624851555
2024-11-20,36950402.624851555,13130800.0,50081202.624851555
2024-11-21,36950402.624851555,12899600.0,49850002.624851555
2024-11-22,36950402.624851555,12920000.0,49870402.624851555
