date,cash,market_value,equity
2025-04-10,14030552.352044005,39465510.0,53496062.352044
2025-04-11,18685097.375419255,36604350.0,55289447.37541926
2025-04-14,18847922.252622757,36815040.0,55662962.25262275
2025-04-15,18847922.252622757,36923770.0,55771692.25262275
2025-04-16,18847922.252622757,36698280.0,55546202.25262275
2025-04-17,18847922.252622757,36811930.0,55659852.25262275
2025-04-18,18847922.252622757,36892950.0,55740872.25262275
2025-04-21,18847922.252622757,36830530.0,55678452.25262275
2025-04-22,18567769.04219376,37361220.0,55928989.042193756
2025-04-23,18607526.988680758,37362500.0,55970026.98868076
2025-04-24,18607526.988680758,37467560.0,56075086.98868076
2025-04-25,18607526.988680758,36983960.0,55591486.98868076
2025-04-28,18607526.988680758,37238650.0,55846176.98868076
2025-04-29,19388648.02201326,37117590.0,56506238.02201326
2025-04-30,19388648.02201326,36722780.0,56111428.02201326
2025-05-02,18990855.18646226,36876870.0,55867725.18646226
2025-05-07,18990855.18646226,36593080.0,55583935.18646226
2025-05-08,18992613.639362514,39216180.0,58208793.639362514
2025-05-09,21142734.205105767,36355020.0,57497754.20510577
2025-05-12,21200655.491504267,36195600.0,57396255.49150427
2025-05-13,21507945.430268846,35870085.0,57378030.43026885
2025-05-14,21395661.703881092,35979880.0,57375541.70388109
2025-05-15,21395661.703881092,36004985.0,57400646.70388109
2025-05-16,21395661.703881092,36195810.0,57591471.70388109
2025-05-19,21395661.703881092,36142798.0,57538459.70388109
2025-05-20,21395661.703881092,35957629.0,57353290.70388109
2025-05-21,21395661.703881092,35723899.0,57119560.70388109
2025-05-22,20853873.218898594,35725940.0,56579813.218898594
2025-05-23,20446170.53058184,36062205.0,56508375.53058184
2025-05-26,20446170.53058184,36441660.0,56887830.53058184
2025-05-27,20446170.53058184,36402330.0,56848500.53058184
2025-05-28,20446170.53058184,36417015.0,56863185.53058184
2025-05-29,20446170.53058184,36667620.0,57113790.53058184
2025-05-30,20446170.53058184,36687285.0,57133455.53058184
2025-06-02,20446170.53058184,36693165.0,57139335.53058184
