2026-04-10 08:31:07,118 | INFO | sector_scanner | Starting scanner mode=mock
2026-04-10 08:31:10,170 | INFO | sector_scanner.scanner_state | ScannerStateStore saved ScanResult → C:\_WORK2\Sauvignon\sector_scanner\output\scanner_state.json
2026-04-10 08:31:10,173 | INFO | sector_scanner | Done. state_file=C:\_WORK2\Sauvignon\sector_scanner\output\scanner_state.json
2026-04-10 08:31:21,011 | INFO | sector_scanner | Starting scanner mode=mock
2026-04-10 08:31:21,204 | INFO | sector_scanner.scanner_state | ScannerStateStore saved ScanResult to C:\_WORK2\Sauvignon\sector_scanner\output\scanner_state.json
2026-04-10 08:31:21,262 | INFO | sector_scanner | refresh_realtime captured 5 events
2026-04-10 08:31:21,263 | INFO | sector_scanner | Done. state_file=C:\_WORK2\Sauvignon\sector_scanner\output\scanner_state.json
2026-04-10 08:33:03,207 | INFO | sector_scanner | Starting scanner mode=mock
2026-04-10 08:33:03,375 | INFO | sector_scanner.scanner_state | ScannerStateStore saved ScanResult to C:\_WORK2\Sauvignon\sector_scanner\output\scanner_state.json
2026-04-10 08:33:03,431 | INFO | sector_scanner | refresh_realtime captured 5 events
2026-04-10 08:33:03,436 | INFO | sector_scanner | Done. state_file=C:\_WORK2\Sauvignon\sector_scanner\output\scanner_state.json
2026-04-10 08:33:45,844 | INFO | sector_scanner | Starting scanner mode=mock
2026-04-10 08:33:46,012 | INFO | sector_scanner.scanner_state | ScannerStateStore saved ScanResult to C:\_WORK2\Sauvignon\sector_scanner\output\scanner_state.json
2026-04-10 08:33:46,016 | INFO | sector_scanner | Done. state_file=C:\_WORK2\Sauvignon\sector_scanner\output\scanner_state.json
2026-04-10 08:33:54,189 | INFO | sector_scanner | Starting scanner mode=mock
2026-04-10 08:33:54,357 | INFO | sector_scanner.scanner_state | ScannerStateStore saved ScanResult to C:\_WORK2\Sauvignon\sector_scanner\output\scanner_state.json
2026-04-10 08:33:54,411 | INFO | sector_scanner | refresh_realtime captured 5 events
2026-04-10 08:33:54,417 | INFO | sector_scanner | Done. state_file=C:\_WORK2\Sauvignon\sector_scanner\output\scanner_state.json
2026-04-10 08:40:55,097 | INFO | sector_scanner | Starting scanner mode=mock
2026-04-10 08:40:55,274 | INFO | sector_scanner.scanner_state | ScannerStateStore saved ScanResult to C:\_WORK2\Sauvignon\sector_scanner\output\scanner_state.json
2026-04-10 08:40:55,344 | INFO | sector_scanner | refresh_realtime: events=5 buffer_symbols=3 adjusted_scores=6 leader_groups=2
2026-04-10 08:40:55,362 | INFO | sector_scanner | Universe export written: C:\_WORK2\Sauvignon\sector_scanner\output\scanner_universe.json (6 symbols)
2026-04-10 08:40:55,362 | INFO | sector_scanner | Done. state_file=C:\_WORK2\Sauvignon\sector_scanner\output\scanner_state.json
2026-04-10 08:41:00,514 | INFO | sector_scanner | Starting scanner mode=mock
2026-04-10 08:41:00,682 | INFO | sector_scanner.scanner_state | ScannerStateStore saved ScanResult to C:\_WORK2\Sauvignon\sector_scanner\output\scanner_state.json
2026-04-10 08:41:00,687 | INFO | sector_scanner | Universe export written: C:\_WORK2\Sauvignon\sector_scanner\output\scanner_universe.json (6 symbols)
2026-04-10 08:41:00,688 | INFO | sector_scanner | Done. state_file=C:\_WORK2\Sauvignon\sector_scanner\output\scanner_state.json
2026-04-10 08:45:58,825 | INFO | sector_scanner | Starting scanner mode=mock
2026-04-10 08:45:59,004 | INFO | sector_scanner.scanner_state | ScannerStateStore saved ScanResult to C:\_WORK2\Sauvignon\sector_scanner\output\scanner_state.json
2026-04-10 08:45:59,069 | INFO | sector_scanner | refresh_realtime: events=5 buffer_symbols=3 adjusted_scores=6 leader_groups=2
2026-04-10 08:45:59,088 | INFO | sector_scanner | Universe export written: C:\_WORK2\Sauvignon\sector_scanner\output\scanner_universe.json (6 symbols)
2026-04-10 08:45:59,088 | INFO | sector_scanner | Done. state_file=C:\_WORK2\Sauvignon\sector_scanner\output\scanner_state.json
2026-04-10 08:50:28,390 | INFO | sector_scanner | Starting scanner mode=mock
2026-04-10 08:50:28,391 | INFO | sector_scanner | Continuous loop: full_scan every 180.0s, tick refresh every 5.0s (max_events=20)
2026-04-10 08:50:28,570 | INFO | sector_scanner.scanner_state | ScannerStateStore saved ScanResult to C:\_WORK2\Sauvignon\sector_scanner\output\scanner_state.json
2026-04-10 08:50:28,643 | INFO | sector_scanner | refresh_realtime: events=5 buffer_symbols=3 adjusted_scores=6 leader_groups=2
2026-04-10 08:50:33,721 | INFO | sector_scanner | refresh_realtime: events=5 buffer_symbols=6 adjusted_scores=6 leader_groups=2
2026-04-10 08:50:38,806 | INFO | sector_scanner | refresh_realtime: events=5 buffer_symbols=6 adjusted_scores=6 leader_groups=2
2026-04-10 08:50:43,897 | INFO | sector_scanner | refresh_realtime: events=5 buffer_symbols=6 adjusted_scores=6 leader_groups=2
2026-04-10 08:50:49,006 | INFO | sector_scanner | refresh_realtime: events=5 buffer_symbols=6 adjusted_scores=6 leader_groups=2
2026-04-10 08:50:54,109 | INFO | sector_scanner | refresh_realtime: events=5 buffer_symbols=6 adjusted_scores=6 leader_groups=2
2026-04-10 08:50:59,212 | INFO | sector_scanner | refresh_realtime: events=5 buffer_symbols=6 adjusted_scores=6 leader_groups=2
2026-04-10 08:51:04,323 | INFO | sector_scanner | refresh_realtime: events=5 buffer_symbols=6 adjusted_scores=6 leader_groups=2
2026-04-10 08:51:09,436 | INFO | sector_scanner | refresh_realtime: events=5 buffer_symbols=6 adjusted_scores=6 leader_groups=2
2026-04-10 08:51:12,535 | INFO | sector_scanner | Continuous loop stopped by user (KeyboardInterrupt).
2026-04-10 08:51:12,536 | INFO | sector_scanner | Done (loop). state_file=C:\_WORK2\Sauvignon\sector_scanner\output\scanner_state.json
2026-04-10 08:54:06,332 | INFO | sector_scanner | Starting scanner mode=mock
2026-04-10 08:54:06,509 | INFO | sector_scanner.scanner_state | ScannerStateStore saved ScanResult to C:\_WORK2\Sauvignon\sector_scanner\output\scanner_state.json
2026-04-10 08:54:09,442 | INFO | sector_scanner | Score chart updated: C:\_WORK2\Sauvignon\sector_scanner\output\score_history.html
2026-04-10 08:54:09,443 | INFO | sector_scanner | Done. state_file=C:\_WORK2\Sauvignon\sector_scanner\output\scanner_state.json
2026-04-10 08:54:14,296 | INFO | sector_scanner | Starting scanner mode=mock
2026-04-10 08:54:14,466 | INFO | sector_scanner.scanner_state | ScannerStateStore saved ScanResult to C:\_WORK2\Sauvignon\sector_scanner\output\scanner_state.json
2026-04-10 08:54:14,563 | INFO | sector_scanner | refresh_realtime: events=5 buffer_symbols=6 adjusted_scores=6 leader_groups=2
2026-04-10 08:54:15,151 | INFO | sector_scanner | Score chart updated: C:\_WORK2\Sauvignon\sector_scanner\output\score_history.html
2026-04-10 08:54:15,151 | INFO | sector_scanner | Done. state_file=C:\_WORK2\Sauvignon\sector_scanner\output\scanner_state.json
2026-04-10 08:57:48,725 | INFO | sector_scanner | Starting scanner mode=mock
2026-04-10 08:57:48,726 | INFO | sector_scanner | Continuous loop: full_scan every 180.0s, tick refresh every 5.0s (max_events=20)
2026-04-10 08:57:48,896 | INFO | sector_scanner.scanner_state | ScannerStateStore saved ScanResult to C:\_WORK2\Sauvignon\sector_scanner\output\scanner_state.json
2026-04-10 08:57:49,481 | INFO | sector_scanner | Score chart updated: C:\_WORK2\Sauvignon\sector_scanner\output\score_history.html
2026-04-10 08:57:49,551 | INFO | sector_scanner | refresh_realtime: events=5 buffer_symbols=3 adjusted_scores=6 leader_groups=2
2026-04-10 08:57:54,729 | INFO | sector_scanner | refresh_realtime: events=5 buffer_symbols=6 adjusted_scores=6 leader_groups=2
2026-04-10 08:57:59,906 | INFO | sector_scanner | refresh_realtime: events=5 buffer_symbols=6 adjusted_scores=6 leader_groups=2
2026-04-10 08:58:05,078 | INFO | sector_scanner | refresh_realtime: events=5 buffer_symbols=6 adjusted_scores=6 leader_groups=2
2026-04-10 08:58:10,259 | INFO | sector_scanner | refresh_realtime: events=5 buffer_symbols=6 adjusted_scores=6 leader_groups=2
2026-04-10 08:58:15,442 | INFO | sector_scanner | refresh_realtime: events=5 buffer_symbols=6 adjusted_scores=6 leader_groups=2
2026-04-10 08:58:20,629 | INFO | sector_scanner | refresh_realtime: events=5 buffer_symbols=6 adjusted_scores=6 leader_groups=2
2026-04-10 08:58:25,862 | INFO | sector_scanner | refresh_realtime: events=5 buffer_symbols=6 adjusted_scores=6 leader_groups=2
2026-04-10 08:58:31,094 | INFO | sector_scanner | refresh_realtime: events=5 buffer_symbols=6 adjusted_scores=6 leader_groups=2
2026-04-10 08:58:36,314 | INFO | sector_scanner | refresh_realtime: events=5 buffer_symbols=6 adjusted_scores=6 leader_groups=2
2026-04-10 08:58:41,573 | INFO | sector_scanner | refresh_realtime: events=5 buffer_symbols=6 adjusted_scores=6 leader_groups=2
2026-04-10 08:58:46,793 | INFO | sector_scanner | refresh_realtime: events=5 buffer_symbols=6 adjusted_scores=6 leader_groups=2
2026-04-10 08:58:52,013 | INFO | sector_scanner | refresh_realtime: events=5 buffer_symbols=6 adjusted_scores=6 leader_groups=2
2026-04-10 08:58:57,210 | INFO | sector_scanner | refresh_realtime: events=5 buffer_symbols=6 adjusted_scores=6 leader_groups=2
2026-04-10 08:59:02,427 | INFO | sector_scanner | refresh_realtime: events=5 buffer_symbols=6 adjusted_scores=6 leader_groups=2
2026-04-10 08:59:07,654 | INFO | sector_scanner | refresh_realtime: events=5 buffer_symbols=6 adjusted_scores=6 leader_groups=2
2026-04-10 08:59:12,877 | INFO | sector_scanner | refresh_realtime: events=5 buffer_symbols=6 adjusted_scores=6 leader_groups=2
2026-04-10 08:59:18,076 | INFO | sector_scanner | refresh_realtime: events=5 buffer_symbols=6 adjusted_scores=6 leader_groups=2
